bulan,Tahun,jumlah_produksi_air_m3
Januari,2022,1015598
Februari,2022,959947
Maret,2022,1044687
April,2022,1045833
Mei,2022,1076586
Juni,2022,1028071
Juli,2022,1059276
Agustus,2022,1054569
September,2022,1029813
Oktober,2022,1059191
November,2022,1002966
Desember,2022,1037533
Januari,2023,1046365
Februari,2023,950333
Maret,2023,1003551
April,2023,1003806
Mei,2023,992756
Juni,2023,988591
Juli,2023,1009001
Agustus,2023,983299
September,2023,1101960
Oktober,2023,1176543
November,2023,1147269
Desember,2023,1202087
Januari,2024,1192381
Februari,2024,1209955
Maret,2024,1288805
April,2024,1284367
Mei,2024,1297426
Juni,2024,1320367
Juli,2024,1343308
Agustus,2024,1349550
September,2024,1272828
Oktober,2024,1260063
November,2024,1318009
Desember,2024,1251311
